gkz,Männer,Frauen,diff,class,text
31553,37055.5,31964.15,5091.3499999999985,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 5.091,35 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31601,34123.99,30546.89,3577.0999999999985,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.577,10 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31603,35057.63,31803.29,3254.3399999999965,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.254,34 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31604,34520.68,34695.44,-174.76000000000204,Frauen mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'>   174,76 €</span><span style='font-size: 1rem; color:#000'>mehr</span></span>"
31605,37078.42,36167.19,911.2299999999959,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'>   911,23 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31606,31065.33,32960.95,-1895.6199999999953,Frauen mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 1.895,62 €</span><span style='font-size: 1rem; color:#000'>mehr</span></span>"
31608,33733.38,33708.17,25.209999999999127,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'>    25,21 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31609,36398.6,31864.22,4534.379999999997,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.534,38 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31611,36675.84,29746.52,6929.319999999996,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 6.929,32 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31612,36126.7,32977.84,3148.8600000000006,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.148,86 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31613,35596.4,31717.9,3878.5,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.878,50 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31614,37248.86,35199.88,2048.980000000003,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 2.048,98 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31615,36435.44,31815.54,4619.9000000000015,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.619,90 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31616,34161.01,29152.97,5008.040000000001,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 5.008,04 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31617,35692.01,32180.61,3511.4000000000015,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.511,40 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31620,34051.04,31882.18,2168.8600000000006,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 2.168,86 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31621,35384.11,31351.44,4032.670000000002,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.032,67 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31622,36532.18,33150.56,3381.6200000000026,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.381,62 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31627,38273.68,33810.29,4463.389999999999,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.463,39 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31628,36277.77,34349.01,1928.7599999999948,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 1.928,76 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31629,34997.27,31341.22,3656.0499999999956,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.656,05 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31630,37508.86,30599.35,6909.510000000002,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 6.909,51 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31633,36240.59,31611.3,4629.289999999997,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.629,29 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31634,35306.55,30537.03,4769.520000000004,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 4.769,52 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31636,36895.48,34771.93,2123.550000000003,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 2.123,55 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31642,37488.63,33651.47,3837.159999999996,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.837,16 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31644,35138.46,31889.56,3248.899999999998,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'> 3.248,90 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
31645,34235.77,33768.27,467.5,Männer mehr verdienen,"<span style='text-align: center; font-size: 1rem; display: grid;'><span>Frauen verdienen</span><span style='text-align: center; font-size: 1.1rem;'>   467,50 €</span><span style='font-size: 1rem; color:#e59590'>weniger</span></span>"
